,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
112,Kapaa,US,22.0752,-159.319,71.92,96,100,19.57,heavy intensity rain
113,Edea,CM,3.8,10.1333,79.84,87,100,5.23,light rain
114,Aykhal,RU,66.0,111.5,15.19,96,23,8.19,few clouds
115,Saldanha,ZA,-33.0117,17.9442,82.45,70,77,8.5,broken clouds
116,Severo-Kurilsk,RU,50.6789,156.125,33.55,86,99,5.48,overcast clouds
117,San Ramon,US,37.7799,-121.978,59.58,79,100,11.5,overcast clouds
118,Saint George,US,37.1041,-113.5841,65.79,33,0,4.61,clear sky
119,Madimba,TZ,-10.4,40.3333,77.68,72,11,11.92,few clouds
120,Manama,BH,26.2154,50.5832,86.18,42,0,9.22,dust
121,Chapais,CA,49.7834,-74.8492,53.38,67,10,10.78,clear sky
122,San Lorenzo,PY,-25.3333,-57.5333,70.74,94,100,5.75,overcast clouds
123,Hay River,CA,60.8156,-115.7999,40.64,70,15,10.04,few clouds
124,Strezhevoy,RU,60.7333,77.5889,29.98,80,8,4.97,clear sky
125,Butaritari,KI,3.0707,172.7902,80.73,80,50,13.2,light rain
126,Popova,RU,42.9603,131.7228,43.23,78,55,9.64,broken clouds
127,Mahebourg,MU,-20.4081,57.7,76.24,83,14,9.46,few clouds
128,Flin Flon,CA,54.7682,-101.865,32.43,73,99,6.02,overcast clouds
129,Thessalon,CA,46.2501,-83.5666,48.49,98,100,5.79,overcast clouds
130,Pangnirtung,CA,66.1451,-65.7125,25.5,90,100,4.41,light snow
131,Qaqortoq,GL,60.7167,-46.0333,36.05,97,100,2.71,light rain
132,Remedios,CU,22.4947,-79.5458,85.12,60,24,14.18,few clouds
133,Saint-Pierre,RE,-21.3393,55.4781,74.88,82,0,4.61,clear sky
134,Basoko,CD,1.2391,23.616,80.04,65,98,2.68,overcast clouds
135,Poum,NC,-20.2333,164.0167,77.16,84,1,4.47,clear sky
136,Svetlogorsk,BY,52.6333,29.7333,55.06,74,79,9.1,broken clouds
137,General Roca,AR,-39.0333,-67.5833,63.63,39,8,7.31,clear sky
138,College,US,64.8569,-147.8028,43.23,65,75,4.61,broken clouds
139,Kavieng,PG,-2.5744,150.7967,82.6,77,100,5.99,light rain
140,Mount Gambier,AU,-37.8333,140.7667,54.28,82,46,7.02,scattered clouds
141,Prince Rupert,CA,54.3161,-130.3201,42.89,100,100,2.3,light rain
142,Beckley,US,37.7782,-81.1882,72.09,44,0,11.5,clear sky
143,Port-Cartier,CA,50.0334,-66.8654,47.75,66,4,4.43,clear sky
144,Caconda,AO,-13.7333,15.0667,67.59,55,33,6.35,scattered clouds
145,Matara,LK,5.9485,80.5353,80.29,87,84,8.97,broken clouds
146,Alekseyevsk,RU,57.8406,108.3492,30.63,77,100,9.69,overcast clouds
147,Miri,MY,4.4148,114.0089,80.74,94,20,3.44,few clouds
148,Iqaluit,CA,63.7506,-68.5145,20.7,73,98,15.99,overcast clouds
149,San Patricio,US,28.017,-97.5169,84.92,57,32,22.55,scattered clouds
150,Saint-Augustin,CA,51.226,-58.6502,40.21,88,100,15.03,overcast clouds
151,Kulotino,RU,58.45,33.3833,48.76,61,99,8.66,overcast clouds
152,Kudahuvadhoo,MV,2.6708,72.8944,85.08,76,99,19.91,overcast clouds
153,Pisco,PE,-13.7,-76.2167,69.03,80,60,6.51,broken clouds
